hour,day_of_week,zone_type,traffic_density,nearby_events,temperature,wind_speed,noise_db
5,Thursday,park,27.457231555102158,1,18.969407157181557,27.92895345049632,47.83180070004352
1,Friday,transport,54.60988080032908,4,20.15412111578018,23.249719484847244,77.05953867520134
20,Tuesday,industrial,21.400711317387422,0,39.7989092700788,28.222573579350186,79.97361826379868
0,Saturday,park,47.55265216261934,4,33.82715986103324,9.068997123670377,62.19565893082613
11,Friday,commercial,31.817520950870314,4,39.04929674435177,25.833575050883134,92.84078364400065
21,Wednesday,commercial,26.670343063721425,4,22.396279130301103,14.666794285912276,80.90408411412078
11,Thursday,park,96.69850180280375,2,19.114071915495508,4.917516088307547,85.27543292914632
16,Sunday,industrial,16.00741054867306,1,27.576711586970774,20.064017971002034,84.44593154360236
9,Saturday,park,78.73258374573953,2,27.366707055683584,20.523608121176366,79.8098189066572
15,Tuesday,industrial,98.4164959483215,0,19.373662843949695,8.607735412700704,100.82791800750414
14,Sunday,industrial,1.990148374007783,4,33.330489239535254,0.8247999488271018,86.14602671264149
14,Friday,transport,69.90274140420951,3,24.04443836096835,5.9954177725669,92.64587665879117
18,Sunday,commercial,25.291180555628713,0,19.65913077326293,11.993326430216602,72.59895197118492
11,Sunday,commercial,4.0487824328304445,1,23.29958486358221,5.026887331796056,64.96695651864982
22,Thursday,industrial,40.28895789566308,0,29.09146749087538,5.820898447188125,88.45367019158127
19,Sunday,commercial,93.5217810170875,2,33.16177330451108,11.741719931468086,97.09626716888154
2,Sunday,residential,1.1765094366997686,3,27.047272151437113,28.853598429256813,47.11040836050965
4,Saturday,industrial,58.788569192978166,2,28.139874745709335,22.92730546222945,84.13622153070368
18,Thursday,commercial,50.13964785953243,4,18.47364839856871,9.592452036796924,92.82266404873069
6,Tuesday,residential,87.33841643710475,4,37.86727311770581,28.548122067556445,80.8153778367881
20,Friday,transport,8.400171452062565,0,38.21810494980111,19.36940376776198,71.73596568523942
8,Thursday,commercial,68.15260298866504,4,32.08566476045009,13.663489339204204,97.12843650196508
6,Thursday,residential,68.01096984332773,4,15.440785223350618,14.049005968654413,68.2443187106631
17,Monday,park,66.90800168622832,1,28.426855397583154,12.322334035061756,77.41759877562409
3,Thursday,park,94.2334494935037,1,30.730474302215338,6.989761576378191,63.466713476990286
13,Monday,residential,82.30875290068805,2,39.866355573952745,11.59896576641117,87.86712996621506
17,Friday,industrial,4.197272624350601,2,39.90167387986992,15.836891521301776,84.45574366469666
8,Sunday,industrial,47.108285070451316,1,36.44028088313894,15.84082052190663,93.33219348531932
20,Saturday,commercial,39.79530562013335,0,16.595774800652837,22.852107066375538,76.22642056426054
1,Saturday,park,31.014722109080207,1,38.83190976946825,10.763935714720578,46.21620932815728
19,Friday,industrial,45.13367251540973,2,30.316531178799977,21.503940879118574,94.34787280260288
14,Friday,industrial,38.41941849259774,3,35.022169261979485,17.342755163060538,89.81415995222336
6,Wednesday,park,43.23338998786653,4,25.17982124214634,28.855362135805034,59.891719887455984
11,Sunday,transport,97.92618656086425,3,22.991736780864745,11.558547781019481,110.0
7,Friday,industrial,8.863297474958076,3,26.5811036370952,27.03649392782371,85.98143477587071
14,Thursday,residential,92.22308698387297,4,18.671862824220675,24.619276418948683,94.56870559485326
2,Saturday,commercial,48.02367134710267,1,23.92665346883265,19.129928537683707,64.33474878481893
13,Tuesday,industrial,62.374224549954114,0,36.44043749420696,19.635434002263516,94.26932929151306
16,Saturday,industrial,83.01829666176938,3,15.948762156522037,2.5394980381923205,106.57158150767182
3,Monday,transport,36.046302914925555,0,18.77195117061511,28.506738167802972,68.36346037969113
17,Saturday,residential,43.04219080879669,2,18.127903991237137,3.2080819048723175,77.33664203132967
7,Wednesday,commercial,40.95184802787139,3,25.0768885675057,16.89699926230521,90.36434428481239
3,Sunday,industrial,37.47310225357599,2,39.92467252227154,9.902124013474635,72.91130216358013
1,Friday,commercial,92.5529321646895,1,19.333948255284568,12.895559348695553,82.93401114636303
5,Sunday,park,82.8929891193012,3,18.637066239981504,18.30549032510451,70.80886657045227
21,Friday,industrial,10.89999898629761,2,37.87639324440386,27.26554133646965,83.02478787102605
9,Saturday,industrial,10.812335247709603,2,37.05126292414914,13.727013707169043,87.82173315753737
3,Tuesday,park,42.78695148529912,1,15.806009249913862,29.631886659193235,52.079421796586296
21,Tuesday,transport,9.865737673280906,0,33.792649004482875,17.78436196054499,77.07906882758374
17,Wednesday,industrial,61.909309527111965,0,31.38664253691074,4.816618279265235,89.76993228902597
11,Monday,commercial,14.36916072617339,3,34.193520246317725,5.700278844937569,76.16858224793019
1,Saturday,residential,52.2373263966801,1,27.362561369898053,21.483331067677533,58.952368557984244
9,Friday,commercial,0.7219947003717753,3,39.784480461207394,1.5119338273014526,77.73437000940348
3,Saturday,transport,31.659634841264673,0,16.09617546777408,14.410247286666806,65.86228881940082
13,Wednesday,residential,67.71907236726554,1,20.859289660095143,4.446573294105498,75.47070776565715
15,Thursday,commercial,48.40389402278484,4,24.913649674340377,12.99655905533535,96.8501951424627
14,Thursday,commercial,97.82694859989881,1,26.24444853914258,22.497522662151585,96.4639630456287
7,Wednesday,park,87.41037960662108,1,38.03418506748797,13.764387847243025,76.47411036320922
13,Friday,transport,35.90707790431512,4,29.00010910193147,4.903533269427809,90.4468311899084
22,Sunday,park,4.5486541472274595,2,16.127774888009846,7.557761110699273,53.36787460783378
7,Wednesday,residential,84.56263001150188,2,25.196574085641547,11.026187659565473,79.62687967457784
20,Friday,park,91.12343103146713,2,25.412260309226745,2.0868355045924414,82.98724904312296
15,Tuesday,transport,82.06273934190368,0,39.13727346094462,17.530129082433657,89.95501133948454
12,Wednesday,industrial,12.794994091976486,1,29.979927275527704,18.226013738341507,82.7795013203872
17,Friday,industrial,99.79151344122877,4,30.89127677897347,1.8645578139770236,110.0
14,Wednesday,residential,25.85842215527738,0,32.83132578128177,12.06933963522486,63.8873867871223
20,Wednesday,industrial,72.42049128083701,4,34.25098289205308,12.420020486541748,108.85811045915295
23,Sunday,park,90.80348763357216,0,30.87627675506223,10.014587056578035,57.61847892322414
12,Sunday,residential,23.568711433070945,0,20.92985877834839,16.732192209933356,64.60876147532282
8,Friday,transport,90.8258554677066,0,36.8511478585291,10.378724701803353,103.08744840184096
14,Friday,residential,30.948157919486697,4,33.302995010265754,12.492278384334181,80.50925460017004
12,Monday,residential,97.64132223840562,3,33.5467621274239,23.92570642324817,89.30079079356818
0,Wednesday,commercial,28.12600203804746,0,39.91391848086873,4.863280662906043,58.20389843551384
6,Thursday,commercial,95.34358247578352,2,35.0631633715829,18.573440859102625,83.75488469835335
8,Wednesday,residential,5.3544650892674905,1,35.72878507887883,15.167832050725368,58.41222970957362
23,Wednesday,industrial,70.9272011669813,3,38.78513789275396,9.152149124380472,90.35939446484211
0,Friday,commercial,53.21111338370037,3,18.778349996222346,21.82603969471232,81.45858066741393
11,Wednesday,transport,47.78770771227306,4,27.443184411951698,16.535650786234438,96.65838426644362
7,Saturday,park,22.349431425583997,3,29.514175589769692,14.32084580882086,64.37180000371434
23,Wednesday,commercial,70.5595789776492,4,23.23189323056144,20.030079443136003,84.06158379226656
10,Saturday,residential,19.08094914463071,4,35.98508359736264,24.068709239440825,68.78436350753319
18,Sunday,industrial,55.284179598476825,2,34.06049054114308,29.180063701007285,95.4370261735664
16,Thursday,park,25.32453630402508,0,33.0220768627031,18.880511051291204,60.55605711178652
7,Friday,commercial,95.56213797813561,3,39.92873599395417,26.23319956201149,103.2336743725383
2,Wednesday,industrial,2.8631193835652824,0,21.484534335209762,0.0327462306887083,67.16412607804564
2,Saturday,industrial,19.972828011123656,0,33.38643129188553,15.907070781776737,66.79488974085504
0,Saturday,industrial,24.231060638744772,0,28.785111872647516,6.439426463105943,63.5318445022517
4,Sunday,residential,41.406782576781644,4,22.824729562346903,2.825773712494115,59.66685646823238
9,Saturday,transport,23.273024187005355,0,19.014671768078145,15.959130511931763,79.98684351508268
6,Tuesday,industrial,49.134909026878525,3,37.39709592668868,22.40479518447282,80.61589270562372
8,Monday,park,87.2465523258539,4,29.886387067696134,12.368175674231392,84.78059523747469
6,Thursday,commercial,71.20634214091707,3,35.62334594101986,20.103223480333046,78.81694906918001
8,Sunday,park,57.99619805351111,4,28.633624600038623,14.691577615228498,82.38763363139553
7,Sunday,residential,8.900317798267965,1,20.499427016350488,13.11257597878278,59.5669235177666
11,Wednesday,residential,69.39921083892756,1,23.43872032750813,8.70769921307582,76.29492851801437
1,Tuesday,park,16.641428431093985,1,24.538471061838663,11.477805435030136,46.63024968920266
0,Wednesday,transport,78.63673859616979,1,39.32337031259256,10.493868923832837,84.71687126037453
15,Wednesday,residential,25.00567585101532,4,15.140831959534562,19.385615520446446,79.50290120037701
22,Friday,residential,41.70487283209009,0,39.64165057561267,3.4805553383741863,71.56545349094999
22,Friday,park,35.04702023179279,2,39.511540877745766,2.77909106063418,69.69085417722368
23,Friday,residential,85.88139146748568,2,39.903769763253415,19.800389826253813,69.5106922779426
4,Tuesday,transport,12.654445871340814,1,26.914704472990866,16.38894209636642,63.773419640879986
2,Wednesday,transport,56.56448823847886,0,39.095224240524985,12.906002902279727,75.61325229373462
11,Monday,transport,14.206160944306223,3,24.889979546245684,4.573286532237106,88.82924301101583
7,Thursday,commercial,70.47958361321867,0,15.657361016709668,12.330813356079345,86.65724895915498
21,Friday,transport,90.50781277944812,3,20.60867965929411,23.69195289960035,104.6764650474099
2,Friday,transport,43.46076538672534,2,38.63240612343462,26.68863707367771,71.38583462980507
0,Sunday,commercial,48.80922602649759,0,15.344117333385,21.077297098926604,67.58105886499874
2,Wednesday,industrial,92.74228364827623,0,28.649853385574374,1.7973652764264247,85.82249285790228
4,Wednesday,residential,52.09913886493571,2,16.890039722366975,20.112293298033556,61.95147170466885
14,Tuesday,transport,48.75984380495609,0,22.159914460689464,7.229567686388837,81.98715622305573
13,Tuesday,residential,57.83291027043042,3,17.202321267797167,9.457537290792152,80.87310810526105
2,Friday,park,68.9229736362952,0,36.48821552782641,5.876196238799536,56.99384940077941
0,Wednesday,residential,10.688337508703139,3,29.776767741192643,23.27267371860614,53.01425297253284
4,Monday,commercial,82.1110527741516,1,37.55266164295782,19.45806367911837,79.84716255550082
22,Thursday,residential,43.55050274532593,0,32.20882998850571,18.355051637975425,63.94287333232302
13,Wednesday,residential,7.234850989748553,3,39.27572828112749,20.039178290078283,65.82082507904552
6,Sunday,residential,78.61826691982131,2,27.746941369010166,7.103167842117102,68.17487873372163
8,Wednesday,industrial,37.69499716862721,1,30.967764544071862,13.339332429760848,86.3614432140399
14,Saturday,industrial,10.036749509505395,0,29.407720497226414,18.997611646469675,75.76248353757133
14,Tuesday,park,63.377903954325056,3,27.10651073616532,19.09782082854901,75.33112563655008
9,Sunday,commercial,88.01313534336417,0,36.14898413557532,23.755555882653915,92.45373312296232
12,Thursday,residential,88.77535094139863,3,31.113128391759005,8.613119000643316,91.83302198155921
18,Friday,residential,95.76634748089732,0,35.03280662138682,23.110083650904674,86.35677690363067
6,Sunday,residential,86.7705459766688,1,34.65909841506033,13.205534418508071,70.01535240520859
16,Wednesday,residential,0.2140919345475223,1,19.776129016382384,20.105180761768043,58.5406393742749
19,Friday,industrial,38.02411664133902,0,31.254088312941093,13.671581401958603,86.64390840569114
3,Wednesday,park,81.85425799055031,0,19.991200479533354,28.4583050937283,61.58325101042496
4,Friday,transport,36.62530059984742,4,29.58301195609427,5.379067942249334,71.66702299685758
22,Thursday,commercial,60.15485063797061,0,31.935867111157513,20.250152657470714,82.86906204031244
6,Tuesday,residential,60.6316947374532,0,39.93087678968967,17.296050023044767,59.1411151327035
12,Thursday,park,36.502530403882304,1,15.763549453743458,5.181931228432338,69.31965121108385
14,Saturday,transport,90.44739272812876,0,17.281059852843022,1.9801900743500378,93.79949157160351
10,Monday,park,50.32283453861176,2,16.925667409280788,23.974331669149908,67.65627134570238
3,Tuesday,industrial,46.47842059375008,0,24.9590321566685,4.723540009387955,67.13063034074212
12,Thursday,transport,99.75137456618958,4,35.53970903714534,5.595200483573279,107.75307055955707
6,Saturday,park,49.35003640726167,3,36.10140831967839,29.35302671967118,58.35109721450741
18,Monday,industrial,17.839825192858104,1,33.42448989302879,21.517825544298923,81.17984825490007
21,Saturday,park,51.306942286343805,2,37.42195604574869,7.514605248036674,69.15593793342057
1,Wednesday,park,81.401673551993,3,23.07149860423631,17.728468804548037,68.4892889819056
9,Wednesday,transport,77.68603268982814,2,17.20386610630748,16.0233551520754,101.05272795245703
12,Friday,industrial,78.8581765108471,1,16.453825699746254,25.334198025415425,101.69496799928503
20,Tuesday,residential,70.80237839979118,4,36.30331799048466,21.87962243497873,88.32080874704494
5,Wednesday,commercial,25.42178290666882,1,33.26090735884228,24.951633764795574,61.83736250988788
11,Sunday,transport,86.20840858402315,2,32.46538265027802,6.345197639320873,96.36439531995761
11,Saturday,industrial,89.3443465376265,2,23.49190846364172,19.206576131010156,108.19028772299204
19,Tuesday,park,19.415269661854907,1,24.497629715455655,1.2072257525514096,58.59978303968684
10,Sunday,industrial,13.045563655139391,0,38.95283822248298,2.068218368376603,78.89236872989461
22,Wednesday,commercial,97.56049685891121,1,16.595118602448377,21.40581098113792,95.51596986636989
6,Friday,commercial,86.83239636503679,4,34.34329342344482,0.7326030793179406,87.43330060661228
0,Thursday,residential,89.32361472099467,1,22.740833092709828,17.392950267015276,71.0050236717283
0,Friday,residential,88.63763846243951,3,15.976365460313902,25.212152953335902,80.41843489523944
19,Sunday,commercial,54.168682403372834,0,33.5642527685614,11.398254252540859,76.17649225255101
12,Monday,transport,64.64017366657997,3,23.272797141959366,1.3452131051973837,100.10740377072077
8,Wednesday,transport,54.53628521336417,1,33.05368796856992,21.415423488861805,93.01447610901592
2,Sunday,park,5.1206349190329075,0,32.691359577953,27.890593573924527,32.724511954894844
6,Monday,residential,74.55030853527727,3,28.369671885827877,21.515141761748037,70.8268549106044
5,Monday,park,50.53320333358803,3,34.434328230263716,17.353417290083257,59.987287561872776
7,Saturday,residential,64.77090747902298,0,29.525958104281088,6.900864896371801,80.4581117772773
8,Tuesday,commercial,50.263980497553526,0,22.16592132120652,0.4612687213349098,86.59917716399272
4,Saturday,transport,49.181132232245595,2,33.35288252661047,20.840163254371596,71.94222983073695
0,Wednesday,transport,17.178910947776682,0,29.72849539694309,6.930785275328789,59.24697616888295
18,Monday,commercial,27.871371514114895,1,15.318182042248013,25.744880315470724,76.95988445010674
9,Sunday,park,15.88526919439558,4,37.54110444425773,13.990923564978338,68.43494426659011
11,Thursday,park,19.566629562534242,2,28.641090458107833,15.919067471173687,62.47238261069595
23,Monday,industrial,97.29773804203049,0,36.71568163698829,22.618096327991,86.34497950725857
14,Sunday,residential,15.311344577219844,4,37.06842097455612,23.382918234100295,68.61647288825799
21,Thursday,park,26.927042430520764,2,26.124166418377214,19.279524992417045,59.454358457044194
23,Saturday,commercial,59.058965773858496,1,27.691499911280772,28.15295446238229,64.65590613453797
8,Saturday,park,61.017857623664185,4,25.39385969189005,29.46895308961258,75.61320130695754
19,Tuesday,transport,15.397412974382906,0,26.235919382701137,28.406563331238505,78.10378976487249
16,Sunday,residential,79.37174257852124,0,37.378678974293194,24.725375560318305,80.9423583910846
16,Monday,industrial,78.5202867912825,1,34.70360034919777,21.168756607327545,103.21592051776105
19,Friday,residential,23.731770420389108,2,18.16314190788945,19.899775736450025,67.4513858850476
11,Saturday,transport,28.866630267546046,4,30.2576945385024,3.1125053076160167,90.53546929805353
6,Saturday,transport,93.7987865459497,1,39.89766600965856,8.144530404573375,85.33354369468643
1,Tuesday,transport,82.5671445979478,2,29.888767530812146,0.17064670588131103,81.00933758694892
2,Thursday,transport,69.77970330625239,3,34.64679063982764,4.122296107019756,86.87697114740813
16,Tuesday,commercial,8.223322151060053,3,34.22653683452927,13.17688431507565,79.02503351431434
4,Monday,industrial,41.82640809025757,2,23.757938146808215,4.396096523672201,75.09693112666223
16,Sunday,transport,55.9301872076827,0,24.29623256759897,27.049902440302738,83.32531339951208
23,Wednesday,transport,18.741128798377694,0,33.10191054476008,24.17097556005846,61.677640244588865
16,Wednesday,park,44.82265821082245,3,27.499588290120876,2.148357362685547,73.4756437555734
16,Sunday,industrial,60.102587748869,0,29.2642677282597,7.467411464017982,95.22880404077516
1,Thursday,residential,32.737668011539924,0,32.82264475912094,24.572156538345265,54.062019506736746
1,Saturday,industrial,78.09448189504872,2,34.43937567597625,24.091383796796205,86.25461272765625
21,Thursday,industrial,84.04495816388055,2,21.787914443326784,28.363516503533663,105.9675035872492
22,Saturday,industrial,32.36094694340708,0,18.669843985924075,29.926432848520808,81.70672588197705
4,Saturday,transport,83.86571544924571,2,22.29486616809313,29.288101897233656,83.3742408527261
0,Wednesday,transport,10.357656610301502,4,27.68845812730189,12.304139571643244,68.81790766909464
0,Thursday,commercial,83.77290986226564,3,23.553532932425977,7.509853314060967,88.4529407941518
18,Tuesday,residential,15.275043166761659,4,29.209068971189843,22.752305712811875,74.89696764890836
1,Saturday,park,8.292715250972604,4,16.336643103140712,8.978186782320924,49.26334423605529
20,Friday,industrial,64.17754044410113,0,27.74376029034418,24.192010803939894,87.78495685878529
11,Friday,residential,47.193736575529435,0,24.199622673442697,16.01864191193773,70.33645555085494
5,Tuesday,residential,90.78906004128328,4,28.36666887232206,23.817818257048618,80.34573447636122
22,Friday,commercial,36.31891960908492,4,25.563333872124417,8.276396391510314,85.09489506488478
3,Monday,park,28.71522634376287,1,22.10564626593856,15.240819466614626,49.106657086653286
22,Saturday,industrial,50.07349061441984,1,37.602697636440894,16.92071380806546,90.16357528597456
10,Tuesday,park,45.59461857686613,3,19.619124710533924,28.293242031603963,75.16160253940525
23,Thursday,commercial,34.44280462171883,4,32.034139389513996,7.997927304912519,73.05603759022088
16,Saturday,transport,69.37412986983286,2,38.116117814560354,28.10064717854684,92.43279419874767
5,Tuesday,residential,75.95618339139082,1,28.466748992135827,24.145767463971477,64.70242542280111
23,Wednesday,industrial,85.29839690301367,0,36.910212214487046,21.92682162260086,86.02347324552545
4,Thursday,transport,97.28566047103429,4,18.12128696083211,23.606108075553756,97.08617207065143
19,Wednesday,commercial,26.665619213250448,2,27.3447192564102,18.162751376401708,82.09921718808208
1,Saturday,park,71.60934824899616,2,26.425632012023485,7.322400313874575,65.9561262652424
5,Thursday,residential,39.425823549574524,2,15.202970175924872,5.684849065195582,57.111872673217604
21,Friday,industrial,67.70819719511081,0,26.08143353398336,25.990243075511714,96.99042478300427
10,Tuesday,transport,47.59816903492203,1,24.225743909564947,21.754182077874997,92.10325851126768
15,Saturday,transport,99.37731027679317,2,31.744968194365384,6.3961284828284715,102.75720019321122
15,Monday,residential,72.890213579075,1,38.458244464412964,18.452800976232048,78.04318345511965
0,Thursday,park,95.24913004343244,3,17.144777206550913,13.426394442426714,67.60933411689372
8,Thursday,commercial,83.49695494811857,0,23.186909667865578,4.759655098892818,88.15478979327327
5,Sunday,park,90.29010111633711,1,26.1016184348563,15.95571328071493,65.7043746482184
15,Saturday,park,81.4419197214675,1,26.379634450859584,8.445572773992518,71.08413719648186
2,Saturday,park,45.91591303759114,2,34.37024302105634,2.8873237247271466,56.08590889666378
19,Wednesday,residential,25.17884533468844,2,26.08489164583602,14.008748956362325,67.1366205010473
3,Sunday,residential,37.03201754505222,0,15.679032536341333,17.703256562806857,50.921583975988796
18,Friday,commercial,2.0236232639950447,1,32.75260236482078,1.4071923114345153,65.100471037575
2,Wednesday,park,52.39931674646672,4,37.12074237864179,12.062782482329904,62.413012662731745
18,Sunday,residential,50.50578002704087,2,27.84761781374182,7.729857595100559,81.1893330029235
19,Wednesday,commercial,52.52504648304882,2,29.527713042462636,0.9195177212169725,85.55810144925566
6,Friday,commercial,97.40312249720638,3,19.073410974226153,3.769876488345174,81.58212581076886
19,Sunday,park,91.14540034548394,0,20.516148616973926,4.171024764551326,80.98493693953766
8,Sunday,industrial,16.171277833010798,1,20.879255978115296,5.486227443539135,84.47872689006714
0,Monday,park,36.888252155588916,1,25.768549372032382,24.101327143137638,49.348604019659746
7,Wednesday,industrial,42.39561794632619,1,38.20363052239105,13.184755994344176,92.42284185283378
6,Wednesday,commercial,36.053291785164774,2,28.04461916787215,4.412579768111606,67.0635360538002
17,Thursday,residential,79.8495963603913,0,19.802441130033817,3.0089090078366776,83.88467762784636
7,Friday,transport,52.40376698675869,1,21.65219339672374,8.938213761871172,90.97712868177464
0,Tuesday,commercial,57.209981697162505,4,24.600375743179605,23.940465561133568,77.79372031161424
10,Monday,residential,85.30135589879255,3,30.581474392319986,10.933795438189303,94.06627159460491
17,Sunday,commercial,80.59281534153587,3,26.000828825100136,4.796920808818142,103.63779919589805
22,Sunday,park,13.22115228202997,1,24.811121104423123,12.123485446384798,59.69743753964282
9,Sunday,industrial,71.39145840836343,2,29.11821500997487,16.659346718611726,103.63822628929557
2,Monday,commercial,43.543612890203555,3,21.045874873861635,0.8875255091404155,69.50079321754279
6,Sunday,residential,29.464890306250048,3,16.972581814614554,18.829254043205193,59.89644412397972
15,Sunday,park,5.0018820902186345,3,15.610357870555553,11.853022590443679,61.66464322109282
15,Friday,transport,48.724956034545094,3,21.281479086678175,0.2917762539358315,93.53707844912391
19,Saturday,park,35.54366807245314,1,17.289800853611716,20.216681968391427,65.7609048301241
16,Saturday,industrial,25.151303967640082,0,23.40851596301917,21.371629066879446,82.80656385293379
1,Thursday,park,69.46717295969576,0,34.323338508993885,18.865193656760486,57.48650101267112
0,Thursday,transport,76.9485387315587,2,32.90735826217096,10.257906527952667,87.19204797138302
15,Sunday,residential,24.47895190294248,4,30.27319056970072,15.888145621978834,70.35040207434749
11,Friday,commercial,4.944743667934725,0,36.312506096986965,11.61473118400306,63.40939691222198
4,Sunday,industrial,84.8752700565235,4,22.051690613606915,21.018651904790833,94.72591551316867
4,Thursday,transport,0.9959741204303318,0,37.126343825749146,17.50740558701066,61.118820463851904
22,Monday,industrial,93.7112493921472,0,24.98097924172948,2.4539734148234924,105.01379901597092
8,Monday,park,62.76198739827059,2,25.022332956665664,19.292806746569923,77.00845386164086
8,Tuesday,industrial,32.18466352013203,3,25.133790340638036,20.617152430134045,97.04371320609582
2,Saturday,transport,24.64779095767362,2,17.452359156024535,11.121065418440981,65.25437402932636
18,Friday,commercial,0.9005664264475244,0,39.387262458276396,26.27357342879113,59.1553287128759
15,Wednesday,commercial,23.547141701087714,3,18.46266944562898,25.29043064534888,80.87555602176819
15,Saturday,industrial,13.77283015171411,3,23.522143111729612,5.254995716992136,90.82456492608347
2,Wednesday,residential,61.216622072314564,3,22.982508008168928,27.127989254576057,66.77220773979553
19,Tuesday,industrial,16.65455885938013,4,16.866985820417742,13.226171144852326,87.88655274423313
23,Tuesday,park,52.86298375366193,0,18.806503252796915,21.7124895790288,48.143211633273104
21,Sunday,commercial,59.01164223444708,1,16.121458404634645,24.42291020901708,82.16571866944778
23,Thursday,commercial,29.80416983469145,2,22.310112339012836,15.153372632090697,63.10415764022378
0,Tuesday,commercial,3.5064949018718705,4,36.66642310072266,11.973058181124472,59.57380711871373
23,Tuesday,residential,3.72538806141961,2,23.486055143434612,27.46354105845295,47.55795345661285
19,Wednesday,residential,2.6347332193917605,1,18.09229580168448,6.925606588062696,57.14767574597838
10,Thursday,transport,73.91246671365462,3,31.14234670959795,7.709102331574335,103.07403669485267
16,Tuesday,industrial,31.800970481429815,1,39.915022801372764,10.848609420403113,84.61085730802905
7,Saturday,industrial,79.63001859676636,2,20.808094738298188,25.783973339116965,105.6550462422653
3,Tuesday,park,43.17328238428492,1,21.989275134264236,28.16364792639228,50.83918725669962
5,Thursday,commercial,45.29981008299638,0,39.29617635701972,6.602031442645856,64.77802985762274
7,Sunday,residential,51.28826025095737,1,19.46940718876218,25.91610442893736,74.99661883418365
19,Friday,park,71.3031456375104,0,27.780351686479097,7.746088784057079,73.32187756923878
2,Thursday,park,27.350286582970707,1,20.99130332540237,29.11923740249664,48.69735748759513
15,Wednesday,residential,12.15873495335269,0,38.30879744753109,17.92223675944747,60.27449355856342
2,Friday,industrial,55.60573351914615,0,39.538025364407346,0.21259402342147182,77.57531807318603
17,Saturday,commercial,32.697762324273924,1,35.36744615300039,1.0238971221353366,75.80915764555591
13,Monday,industrial,44.24913136680374,4,22.869595395320264,4.424535924141254,102.82695055571841
17,Thursday,park,64.69467083373054,3,25.087186882012624,5.627194734562702,76.31774864171966
1,Sunday,commercial,49.41257411412706,3,21.057642091660533,23.028573684797898,72.94803226842184
21,Wednesday,transport,62.02788171008429,3,37.26894917522479,6.682976292508497,95.02340487431248
2,Saturday,park,54.42000021136278,0,37.863956942203956,29.074248601495796,48.67855596826729
15,Friday,industrial,73.97963719360992,3,25.47176655615118,19.08336171608815,105.24288675089802
8,Saturday,industrial,70.593661771162,0,31.413326747575045,20.77552527760553,95.47901155076417
3,Thursday,industrial,53.41898918086192,4,19.138829494367346,6.534495578556225,85.58502979781574
0,Tuesday,residential,67.89030208597069,1,25.873397509085226,26.781189422852542,63.432980422440984
3,Sunday,park,87.35596022726128,1,30.78747766683744,20.03443718459794,64.67707016348376
0,Thursday,commercial,43.22712877881686,0,24.63507796295049,25.932168730255917,61.33350198112386
13,Monday,industrial,41.276307274879365,0,23.939988142161496,28.694432916936808,94.2518095989091
20,Thursday,industrial,76.42456208523801,4,15.024974806673567,3.7692293132878927,110.0
15,Friday,residential,58.2553837041994,3,35.10733659442785,2.89761690806837,81.83140980925437
19,Friday,commercial,7.100678022258855,4,37.2334403005362,24.10223479768907,77.10233557374825
23,Thursday,park,89.21120156910814,1,39.23658823864581,25.983781772825107,65.17688605937643
7,Friday,transport,3.0783102237640136,1,32.98178462673039,17.51284262633957,74.64590097832647
6,Tuesday,residential,74.8396356209743,3,28.719807809247115,10.980016432515619,71.44146776228214
